"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Este caso de prueba cubre el flujo completo de Tarifario - Traslados:
1. Login y navegación a la solapa Traslados.
2. Búsqueda con destino Cachi.
3. Validación de Tooltip de Duración.
4. Validación de Tooltip de Idiomas.
5. Validación de Tooltip de Operatividad (Todos los dias).
6. Validación del modal ""Ver Proveedores"" desde el listado.
7. Validación del modal ""Ver Detalle"".
8. Ingreso al detalle del traslado y validación de la tabla de tarifas.
","32104","test_tarifario_traslados_completo","tarifario","Tue Apr 07 13:32:08 UTC 2026","passed","Tue Apr 07 13:32:40 UTC 2026","","traslados","",""
"
Este caso de prueba cubre el flujo completo de Tarifario - Hoteles:
1. Login y navegación a la solapa Hoteles.
2. Búsqueda con destino Cachi.
3. Validación de existencia del tag ""Hotel Recomendado"" (featured-tag).
4. Validación del modal ""Ver Proveedores"" desde el listado.
5. Validación del modal ""Ver Detalle"" (link con estilo primario).
6. Ingreso al detalle del hotel.
7. Apertura del acordeón de habitación y validación de la tabla de tarifas.
","30680","test_tarifario_hoteles_completo","tarifario","Tue Apr 07 13:31:31 UTC 2026","passed","Tue Apr 07 13:32:01 UTC 2026","","t_hoteles","",""
"
Este caso de prueba cubre el flujo End-to-End (E2E) de la cotización de un circuito (Oferta):
1. Login silencioso y navegación a la pestaña de Ofertas.
2. Ingreso de fecha dinámica (hoy + 7 días) y cierre del calendario.
3. Uso de los selectores para parámetros de viaje y habitación.
4. Validación de la estructura HTML.
5. Avance a la pantalla final y validación visual de la tabla de cotizaciones.
","15801","test_ofertas","inicio","Tue Apr 07 13:28:56 UTC 2026","passed","Tue Apr 07 13:29:12 UTC 2026","","ofertas","",""
"
Este caso de prueba valida el acceso principal al sistema web de reservas con perfil Administrador.
Es un flujo BLOQUEANTE ya que el resto de las pruebas E2E dependen de una sesión válida con permisos elevados.
1. Navegación a qa.amv.travel.
2. Inyección de credenciales seguras mediante GitHub Secrets.
3. Validación de ingreso exitoso al portal interno.
4. Validación de perfil Admin comprobando la existencia de los selectores de simulación de agencia.
","6778","test_login_admin","inicio","Tue Apr 07 13:28:11 UTC 2026","passed","Tue Apr 07 13:28:18 UTC 2026","","login_admin","",""
"
Este caso de prueba cubre el flujo End-to-End (E2E) de la reserva de un servicio:
1. Login silencioso y navegación a la pestaña de Servicios.
2. Búsqueda filtrada por Destino (Bariloche) y Tipo (Excursión).
3. Validación de la interfaz (UI) en las cards de resultados y el detalle interno.
4. Selección de cantidad de pasajeros.
5. Confirmación de reserva y validación final comprobando que el carrito sume 4 ítems.
","22671","test_reserva_servicio_flujo_completo","inicio","Tue Apr 07 13:29:18 UTC 2026","passed","Tue Apr 07 13:29:41 UTC 2026","","servicios","",""
"
Este caso de prueba cubre el flujo completo de Tarifario - Cena Show:
1. Login y navegación a la solapa Cena Show.
2. Búsqueda con destino Cachi.
3. Validación de Tooltip de Duración.
4. Validación de Tooltip de Idiomas.
5. Validación de Tooltip de Operatividad (Días y meses específicos).
6. Validación del modal ""Ver Proveedores"" desde el listado.
7. Validación del modal ""Ver Detalle"".
8. Ingreso al detalle de la cena show y validación de la tabla de tarifas.
","31054","test_tarifario","tarifario","Tue Apr 07 13:29:48 UTC 2026","passed","Tue Apr 07 13:30:19 UTC 2026","","cenashow","",""
"
Este caso de prueba cubre el flujo completo de Tarifario - Excursiones:
1. Login y navegación a Excursiones.
2. Búsqueda con destino Cachi.
3. Validación de Tooltip de Duración.
4. Validación de Tooltip de Idiomas.
5. Validación de Tooltip de Operatividad.
6. Validación del modal ""Ver Proveedores"" desde el listado.
7. Validación del modal ""Ver Detalle"".
8. Ingreso al detalle de la excursión y validación de la tabla de tarifas.
","33155","test_tarifario","tarifario","Tue Apr 07 13:30:25 UTC 2026","passed","Tue Apr 07 13:30:59 UTC 2026","","excursiones","",""
"
Este caso de prueba cubre el flujo completo de Tarifario - Paquetes:
1. Login silencioso y navegación a la pestaña Tarifario.
2. Búsqueda de paquetes con filtros por defecto (Argentina, Buenos Aires).
3. Validación de estructura de resultados en pantalla.
4. Ingreso al detalle del paquete (ID lnk2138).
5. Apertura y validación del acordeón de tours.
6. Descarga del paquete en formato Word y validación en el sistema de archivos (CI/CD).
","18464","test_tarifario_paquetes","tarifario","Tue Apr 07 13:31:05 UTC 2026","passed","Tue Apr 07 13:31:24 UTC 2026","","paquetes","",""
"
Este caso de prueba cubre el flujo End-to-End (E2E) de la reserva de un hotel:
1. Búsqueda interactiva por destino (Bariloche) y selección en calendario.
2. Configuración compleja de pasajeros (adultos y menores con asignación de edad).
3. Aplicación de múltiples filtros laterales concurrentes (Zona, Tipo, Amenities).
4. Validación visual y funcional de la card del hotel y la vista de detalle interno.
5. Suma de habitaciones y confirmación final de la reserva validando el alert de éxito.
","16911","test_reserva_hotel_flujo_completo","inicio","Tue Apr 07 13:28:32 UTC 2026","failed","Tue Apr 07 13:28:49 UTC 2026","","hoteles","",""
"
Este caso de prueba valida el acceso principal al sistema web de reservas con perfil Agencia.
1. Navegación a qa.amv.travel.
2. Inyección de credenciales seguras mediante GitHub Secrets.
3. Validación de ingreso exitoso al portal interno.
4. Validación de perfil Agencia comprobando la NO existencia de los selectores de simulación de agencia.
","7326","test_login_agencia","inicio","Tue Apr 07 13:28:18 UTC 2026","passed","Tue Apr 07 13:28:26 UTC 2026","","login_agencia","",""
